Stephen Michael,Reich
Johann Friedrich,Reichardt
Louise,Reichardt
Johann Adam,Reincken
Ottorino,Respighi
Esaias,Reusner
Johann Adam Joseph Karl Georg von,Reutter
Silvestre,Revueltas
Roger Lee,Reynolds
Georg,Rhau
Franz Xaver,Richter
Wallingford Constantin,Riegger
Wolfgang,Rihm
Terry Mitchell,Riley
Nikolai Andreyevich,Rimsky-Korsakov
Jean-Claude,Risset
George,Rochberg
Joaquin,Rodrigo Vidre
Bernard,Rogers
Ned,Rorem
Nikolay Andreyevich,Roslavets
Luigi,Rossi
Salamone,Rossi
Gioacchino Antonio,Rossini
Christopher Chapman,Rouse
Albert Charles Paul Marie,Roussel
Anton Grigoryevich,Rubinstein
Dane,Rudhyar
Pierre de la,Rue
Carl Sprague,Ruggles
Luigi,Russolo
Frederic Anthony,Rzewski
Kaija Anneli,Saariaho
Antonio Maria Gasparo Gioacchino,Sacchini
Hans,Sachs
"Joseph Boulogne, Chevalier de",Saint-Georges
Charles Camille,Saint-Saëns
Antonio,Salieri
Giovanni Battista,Sammartini
Jeremy,Sams
Giuseppe,Sarti
Antonio,Sartorio
Erik Alfred Leslie,Satie
Giuseppe Domenico,Scarlatti
Pietro Alessandro Gaspare,Scarlatti
Pierre,Schaeffer
Raymond Murray,Schafer
Heinrich,Scheidemann
Samuel,Scheidt
Johann Hermann,Schein
Johann Baptist,Schenk
Johann Peter,Schickele
Joseph Moiseyevich,Schillinger
Florent,Schmitt
Arp,Schnitger
Alfred Garriyevich,Schnittke
Johann ,Schobert
Arnold Franz Walter,Schoenberg
Franz August Julius,Schreker
Franz Peter,Schubert
Gunther Alexander,Schuller
Johann Abraham Peter,Schulz
William Howard,Schuman
Clara Josephine ,Schumann,Clara Josephine Wieck,Clara Wieck
Robert,Schumann
Heinrich,Schütz
Joseph,Schwantner
Peter Joshua,Sculthorpe
Johann,Sebastiani
Ruth Porter Crawford,Seeger
Claudin de,Sermisy
Roger Huntington,Sessions
Ralph,Shapey
Cecil James,Sharp
Bright,Sheng
Dmitry Dmitriyevich,Shostakovich
Jean Christian Julius,Sibelius
Gottfried,Silbermann
Alyeksandr Nikolayevich,Skryabin
Bedrich,Smetana
Leland Clayton,Smith
Ethel,Smyth
Antonio Francisco Javer José,Soler Ramos
Darren ,Solomon
Giovanni Battista,Somis
John Philip,Sousa
Ludwig,Spohr
Gaspare Luigi Pacifico,Spontini
Sigmund Theophil,Staden
Johann Wenzel Anton,Stamitz
Charles Villiers,Stanford
John,Stanley
Agostino,Steffani
William Grant,Still
Karlheinz,Stockhausen
Alessandro,Stradella
Antonio,Stradivari
Johann Baptist,Strauss
Richard Georg,Strauss
Igor Feodorovich,Stravinsky
Alessandro,Striggio
Barbara,Strozzi
Morton,Subotnick
Arthur Seymour,Sullivan
Jan Pieterszoon,Sweelinck
Maria Agata (Wolowska),Szymanowska
Karol Maciej,Szymanowski
Yuji ,Takahashi
Toru,Takemitsu
Thomas,Tallis
Dun,Tan
Giuseppe ,Tartini
John Kenneth,Tavener
John,Taverner
Pyotr Ill'yich,Tchaikovsky
Georg Philipp,Telemann
James Carl,Tenney
Lev Sergeyevich,Termen
Domingo Miguel Bernabe,Terradellas
Sigismond Fortuné François,Thalberg
Johann,Theile
Mikis,Theodorakis
Charles Louis Ambroise ,Thomas
Virgil Garnett,Thomson
Johannes,Tinctoris
Michael Kemp,Tippett
